Name of Medication,Strength,Condition 1,Max Quantity (1),Interval Length (1) (Days),Condition 2,Interval Length (2),Max Quantity (2),Condition 3,Max Quantity (3),Interval Length (3),Dosage 1 ,Dosage 2
Aciclovir Tablets ,200,Cold Sore,45,168,,,,,,,One To Be Taken Five Times A Day For Treatment,One To Be Taken Twice A Day For Supression 
Aciclovir Tablets ,400,Cold Sore,45,168,,,,,,,One To Be Taken Twice A Day For Treatment,One To Be Taken Twice A Day For Supression 
Adapalene Cream ,0.1,Acne,135,112,,,,,,,Apply Thinly At Night,
Adapalene Gel,0.1,Acne,135,112,,,,,,,Apply Thinly At Night,
Avamys Nasal Spray ,27.5,Hay Fever,6,140,Nasal Congestion,140,6,,,,One-Two Sprays To Be Used In Each Nostril Once A Day,One Spray To Be Used In Each Nostril Twice A Day
Azelaic Acid Gel ,15,Rosacea,90,84,Acne,84,90,,,,Apply Twice A Day,
Azelastine Eye Drop,0.5,Hay Fever,48,140,,,,,,,One Drop To Be Used Twice A Day In The Affected Eye(s),One Drop To Be Used Three-Four Times A Day In The Affected Eye(s)
Azelastine Nasal Spray,0.1,Hay Fever,6,140,,,,,,,One Spray To Be Used In Each Nostril Twice A Day,
Azithromycin,250,Traveller's Diarrhoea,8,84,,,,,,,Two To Be Taken Each Day For 3 Days,
Azithromycin,500,Traveller's Diarrhoea,8,84,,,,,,,One To Be Taken Each Day For 3 Days,
Bactroban Cream ,2,Impetigo,15,84,,,,,,,Apply Three Times Daily For 5-7 Days As Directed,
Bactroban Nasal Ointment,2,Impetigo,3,84,,,,,,,Apply Three Times Daily For 5-7 Days As Directed,
Bactroban Ointment ,2,Impetigo,15,84,,,,,,,Apply Three Times Daily For 5-7 Days As Directed,
Betamethasone Cream,0.1,Eczema,90,84,Psoriasis,84,90,Contact Dermatitis,90,84,Apply Thinly Once or Twice Daily As Directed,
Betamethasone Ointment,0.1,Eczema,200,84,Psoriasis,84,200,Contact Dermatitis,200,84,Apply Thinly Once or Twice Daily As Directed,
Betamethasone Scalp Application ,0.1,Dandruff,300,112,Eczema,112,300,Psoriasis,300,112,Apply Thinly Once A Day As Directed,Apply Thinly Twice A Day As Directed
Betnesol N Drops ,0.1/0.5,Ear Infection (Otitis Media/Externa),10,84,,,,,,,Apply 2 to 3 Drops Into The Affected Ear(s) 3 to 4 Times Daily.,
Canestan HC Cream ,1,Impetigo,90,84,,,,,,,Apply Twice Daily As Directed,
Capasal Shampoo ,5/1/1,Dandruff,750,112,,,,,,,Apply Each Day When Required,
Cerazette Tablets,75,Contraception,336,308,,,,,,,One Tablet Daily At The Same Time Each Day,
Clobetasol Cream,0.05,Contact Dermatitis,90,84,,,,,,,Apply Thinly Once or Twice Daily As Directed,
Clobetasol Ointment,0.05,Contact Dermatitis,200,84,,,,,,,Apply Thinly Once or Twice Daily As Directed,
Clobetasone Cream ,0.05,Eczema,90,84,Psoriasis,84,90,Contact Dermatitis,90,84,Apply Thinly Once or Twice Daily As Directed,
Clobetasone Ointment ,0.05,Eczema,200,84,Psoriasis,84,200,Contact Dermatitis,200,84,Apply Thinly Once or Twice Daily As Directed,
Cyclizine Tablets,50,Nausea/Vomiting,100,84,,,,,,,One To Be Taken Up To Three Times A Day,
Daktacort Cream ,45293,Impetigo,90,84,,,,,,,,
Daktacort Ointment ,45293,Impetigo,90,84,,,,,,,,
Desogestrel Tablets,75,Contraception,336,308,,,,,,,One Tablet Daily At The Same Time Each Day,
Diprosalic Ointment ,0.5/30,Psoriasis,90,84,,,,,,,Apply Thinly Once or Twice Daily As Directed,
Dovobet Ointment ,"0.05/0,5",Psoriasis,90,84,,,,,,,Apply Once A Day As Directed,
Doxycycline Capsules,100,Acne,84,168,,,,,,,One To Be Taken Each Day,
Duac Gel,45294,Acne,90,84,,,,,,,Apply Once A Day In The Evening,
Duac Gel,45296,Acne,90,84,,,,,,,Apply Once A Day In The Evening,
Elocon Scalp lotion ,0.1,Dandruff,90,112,,,,,,,Apply Thinly Once A Day As Directed,
Emla Cream,5,Premature Ejaculation,30,84,,,,,,,"Apply A Small, Pea-Sized Amount 15-30 Minutes Before Sexual Activity ",
Emla Cream,5,Premature Ejaculation,30,84,,,,,,,"Apply A Small, Pea-Sized Amount 15-30 Minutes Before Sexual Activity ",
Epiduo Gel ,0.1/2.5,Acne,135,112,,,,,,,Apply Thinly At Night,
Epiduo Gel ,0.3/2.5,Acne,135,112,,,,,,,Apply Thinly At Night,
Epipen Auto Injector ,300,Allergy,4,280,,,,,,,Use As Direcected For Anaphylaxis Reaction ,
Esomeprazole Tablets,20,Acid Reflux,112,168,,,,,,,One To Be Taken Each Morning,One To Be Taken Twice A Day
Evra Patch,33.9/203/24,Contraception,36,308,,,,,,,Apply One Patch On Skin For 7 Days. Continue For 3 Weeks Then Take a Break for 7 Days As Directed.,
Fexofenadine Tablets,120,Hay Fever,180,140,Allergy,140,180,,,,One To Be Taken Each Day,
Fexofenadine Tablets,180,Hay Fever,180,140,Allergy,140,180,,,,One To Be Taken Each Day,
Finasteride Tablets,1,Hair Loss Treatment,112,84,,,,,,,One To Be Taken Each Day,
Flucloxacillin Capsules ,250,Impetigo,28,84,,,,,,,One To Be Taken Four Times A Day,
Flucloxacillin Capsules ,500,Impetigo,28,84,,,,,,,One To Be Taken Four Times A Day,
Fucibet Cream ,2/0.1,Eczema ,120,84,,,,,,,Apply Twice A Day,
Fucibet Cream ,2/0.1,Eczema,120,84,,,,,,,Apply Twice A Day,
Fucidic Acid Cream ,2,Impetigo,90,84,,,,,,,Apply Three Times Daily For 5-7 Days As Directed,Apply Four Times Daily For 5-7 Days As Directed
Fucidic Acid Ointment ,2,Impetigo,90,84,,,,,,,Apply Three Times Daily For 5-7 Days As Directed,Apply Four Times Daily For 5-7 Days As Directed
Fucidin HC Cream ,45293,Impetigo,90,84,,,,,,,Apply Thinly Twice Daily As Directed,
Gedarel Tablets,30/150,Contraception,252,308,,,,,,,One Tablet Daily For 21 Days; Subsequent Courses Repeated After 7-Day Tablet Free Interval,
Hydrocortisone Cream ,1,Eczema,45,84,Contact Dermatitis,84,45,,,,Apply Thinly Once or Twice Daily As Directed,
Hydrocortisone Ointment ,1,Eczema,90,84,Contact Dermatitis,84,90,,,,Apply Thinly Once or Twice Daily As Directed,
Ketoconazole Shampoo ,2,Dandruff,360,112,,,,,,,Apply Once Daily For 3 Or 5 Days As Directed,Apply Twice Each Week As Directed
Lansoprazole Capsules,15,Acid Reflux,112,168,,,,,,,One To Be Taken Each Morning,One To Be Taken Twice A Day
Lansoprazole Capsules,30,Acid Reflux,112,168,,,,,,,One To Be Taken Each Morning,One To Be Taken Each Morning
Levest Tablets,30/150,Contraception,252,308,,,,,,,One Tablet Daily For 21 Days; Subsequent Courses Repeated After 7-Day Tablet Free Interval,
Lymecycline Capsules ,408,Acne,84,168,,,,,,,One To Be Taken Each Day,
