S.No,Conditions,"Category (Your Symptoms: 2, Your medical history: 3, Medication History: 4",Question,"Answer Type (Single: 1, Multiple: 2, Free Text: 3)",Answer options,"Risk (Low: 1, Medium: 2, High: 3)",Ask Additional (option order comma seperated),Position,Tooltip,Tooltip content
5,11,2,Have you been reviewed and/or investigated by your doctor for Premature Ejaculation before?  ,1,Yes|No,"2,3",1,1,,
6,11,2,How long have you been sexually active?,1,< 6 months|6-12 months|1-5 years|> 5 years,"2,2,2,2",,2,,
7,11,2,How long have you been experiencing Premature Ejaculation?,1,Ever since my first sexual encounter|< 6 months|> 6 months,"2,2,2",,3,,
8,11,2,How often do you feel affected by Premature Ejaculation?,1,Every time I have sex|Less than half the time I have sex|More than half the time I have sex,"2,2,2",,4,,
9,11,2,Do you find it difficult to achieve or maintain an erection before ejaculation? ,1,Yes|No,"3,1",,5,1,"PE occurs when your penis is very sensitive and you ejaculate within 2 minutes. ED means that you cannot get or maintain an erection hard enough to have sex. However, not being able to achieve an erection soon after having ejaculated is not ED and is completely normal."
10,11,2,How soon after entering your partner do you ejaculate?,1,"I ejaculate before entering my partner|< 2 mins|Between 2-5mins|
Between 5-10mins|> 10mins","1,1,2,3,3",,6,,
11,11,2,Does Premature Ejaculation cause distress or difficulties in your sex life?,1,"Yes, greatly|Yes, to a certain extent|No","2,2,2",,7,,
12,11,2,Has a doctor ever advised you to avoid sex for any medical reason? ,1,Yes|No,"3,1",1,8,,
13,11,2,"Do you suffer any pain whilst ejaculating, or do you have any difficulty or pain passing urine? ",1,Yes|No,"3,1",1,9,,
14,11,3,Have you been investigated and/or diagnosed with any of the following medical conditions? ,2,"Low blood pressure (below 90/50)|
Prostate condition or surgery|Glaucoma|Migraines or severe headaches|Bleeding or clotting disorder|Serious brain injury.|Epilepsy or seizures.|Stomach or duodenal (peptic) ulcer.|Thyroid problems or hypogonadism (low testosterone levels)|Mental health condition e.g. depression, anxiety, panic attacks, mania, bipolar disorder, schizophrenia or ADHD.|
Fainting, feeling light-headed or dizzy when standing up from lying position.|Heart conditions e.g. angina, chest pain, heart failure, heart attack, ischemic heart disease, irregular heart-beats.|Provide more information ",,13,10,,
15,11,3,Have you been diagnosed with a liver and/or kidney condition? ,1,Yes|No,"3,1",1,11,,
16,11,3,"Has your doctor diagnosed you with any other medical conditions or is there anything else we should know about your health? Are you waiting for any investigations, treatments or procedures for any recent conditions? ",1,Yes|No,"3,1",1,12,,
17,11,4,"Have you taken the selected medication before, or are you currently taking any medications for Premature Ejaculation? ",1,Yes|No,"2,1",1,13,,
18,11,4,Have you ever had any allergic reaction or experienced side effects from the selected medications or from any other medications that you have tried before? ,1,Yes|No,"3,1",1,14,1,"i. The Patient Information Leaflet (PIL) that comes with your medicine will have a list of ingredients.

i. A drug allergy is a response of the body's immune system to a medication; this is different to a side effect of a medication. Symptoms of an allergic reaction include itchy red eyes or skin rashes. Anaphylaxis is an extreme form of allergic reaction. It can cause swelling of the lips and tongue, breathing problems, collapse and loss of consciousness. "
19,11,4,"Are you taking any prescription-only medicines, over-the-counter medicines, alternative medicines or recreational drugs? This includes regular and ‘when needed’ medications. ",1,Yes|No,"3,1",1,15,1,Please note these can be supplied under many different brand names and forms. Look for the generic drug name on the package.
20,11,4,"Are you currently taking or planning to take any recreational drugs? In particular cannabis, cocaine, LSD, ecstasy, heroin, poppers (amyl nitrate). ",1,Yes|No,"3,1",1,16,,
21,11,4,Are you taking any of the following medications? Please select all that apply.,2,"Antidepressants e.g. Citalopram, Sertraline, Fluoxetine, Escitalopram, Fluvoxamine, Venlafaxine|Mental health medications e.g. Lithium, Amitriptylline, Imipramine, Clomipramine, Nortriptyline, Lofepramine|Migraine medications e.g. Sumatriptan, Rizatriptan, Zolmitriptan|Antifungals e.g. Ketoconazole, Fluconazole, Itraconazole|Antibiotics e.g. Erythromycin, Azithromycin and Clarithromycin|Antivirals e.g. Ritonavir, Saquinavir, Nelfinavir, Fosamprenavir, Atazanavir, Amprenavir|Blood thinners e.g. Warfarin, Aspirin, Clopidrogel, Apaxiban, Dabigatran, Rivaroxaban, Edoxaban|Heart medications e.g. Verapamil, Diltiazem, Nitrates, Doxazosin, Atenolol, Metoprolol, Bisoprolol|Others including St John’s Wort, Tamsulosin, Finasteride, Tramadol, Ibuprofen|Provide more information","3,3,3,3,3,3,3,3,3,3",10,17,,
22,11,4,Do you have any other known allergies? ,1,Yes|No,"3,1",1,18,,
