S.No,Conditions,"Category (Your Symptoms: 2, Your medical history: 3, Medication History: 4",Question,"Answer Type (Single: 1, Multiple: 2, Free Text: 3)",Answer options,"Risk (Low: 1, Medium: 2, High: 3)",Ask Additional (option order comma seperated),Position,Tooltip,Tooltip content
5,57,2,Have you previously suffered from Traveller’s Diarrhoea?,1,Yes|No,"2,3",1,1,,
6,57,2,Which country or countries are you visiting?,3,,1,,2,,
7,57,2,What is the purpose of your travel?,2,Holiday|Business trip|Visiting family|Oher ,"2,2,2,2",4,3,,
8,57,2,"If needed, is medical assistance during your trip likely to be poor or limited? ",1,Yes|No,"2,1",,4,,
9,57,3,Do you have any heart conditions (including irregularities of heart rhythm or problems with heart valves)? ,1,Yes|No,"3,1",1,5,,
10,57,3,Have you been diagnosed with a liver and/or kidney condition? ,1,Yes|No,"3,1",1,6,,
11,57,3,"Has your doctor diagnosed you with any other medical conditions or is there anything else we should know about your health? Are you waiting for any investigations, treatments or procedures for any recent conditions? ",1,Yes|No,"3,1",1,7,,
12,57,4,Have you taken the selected medication before for Traveller’s Diarrhoea? ,1,Yes|No,"2,1",1,8,,
13,57,4,Have you ever had any allergic reaction or experienced side effects from the selected medications or from any other medications that you have tried before? ,1,Yes|No,"3,1",1,9,1,"The Patient Information Leaflet (PIL) that comes with your medicine will have a list of ingredients.

A drug allergy is a response of the body's immune system to a medication; this is different to a side effect of a medication. Symptoms of an allergic reaction include itchy red eyes or skin rashes. Anaphylaxis is an extreme form of allergic reaction. It can cause swelling of the lips and tongue, breathing problems, collapse and loss of consciousness. "
14,57,4,"Are you taking any prescription-only medicines, over-the-counter medicines, alternative medicines or recreational drugs? This includes regular and ‘when needed’ medications",1,Yes|No,"3,1",1,10,1,Please note these can be supplied under many different brand names and forms. Look for the generic drug name on the package.
15,57,4,Do you have any other known allergies? ,1,Yes|No,"3,1",1,11,,
