S.No,Conditions,"Category (Your Symptoms: 2, Your medical history: 3, Medication History: 4",Question,"Answer Type (Single: 1, Multiple: 2, Free Text: 3)",Answer options,"Risk (Low: 1, Medium: 2, High: 3)",Ask Additional (option order comma seperated),Position,Tooltip,Tooltip content
1,63,2,Have you been reviewed and/or investigated by your doctor for Cold Sore before?  ,1,Yes|No,"3,3",1,1,,
2,63,2,Are you having an outbreak now? ,1,Yes|No,"3,1",1,2,,
3,63,2,Which type of cold sore treatment do you want?,2,Short course treatment now (acute treatment)|Short term treatment for a future outbreak (acute treatment)|Daily long-term treatment because of regular outbreaks (suppression treatment),"2,2,2",,3,,
4,63,2,How often have you experienced Cold Sore outbreaks in the past year?,2,Fewer than 6 episodes|6 episodes or more,"2,2",,4,1,"i.If you experience 6 or more outbreaks a year, a suppression treatment may be more suitable. This is where you take a low dose of the same medication every day for 6 to 12 months. This helps with reducing the frequency and intensity of any future outbreaks. After 6 to 12 months of suppression therapy, treatment can be gradually stopped. The number of outbreaks after this is usually reduced. "
5,63,2,Do you have any of the following symptoms? Please select all that apply.,2,Mouth ulcers/lumps lasting more than 3 weeks|Painful red and white patches on the inside of the mouth|Fluid filled blisters/crusts on the lips|Other,"3,3,3,3",4,5,,
6,63,2,Do you have any of the following symptoms? Please select all that apply.,2,"Unable to swallow|Blurred vision, severe headache or neck stiffness|Temperature|A skin rash|Other","3,3,3,3,3",5,6,,
7,63,3,Have you been diagnosed with any of the following medical conditions? Please select all that apply.,2,Cancer|HIV|Nervous system abnormalities|Electrolyte abnormalities|Other immune system disorders|Other  ,"3,3,3,3,3,3",6,7,,
8,63,3,Have you been diagnosed with a liver and/or kidney condition? ,1,Yes|No,"3,1",1,8,,
9,63,3,"Has your doctor diagnosed you with any other medical conditions or is there anything else we should know about your health? Are you waiting for any investigations, treatments or procedures for any recent conditions? ",1,Yes|No,"3,1",1,9,,
10,63,4,"Have you taken the selected medication before, or are you currently taking (or have taken) any of the following medications for Cold Sore? ",2,Aciclovir|Valaciclovir|Famciclovir|Creams|Other,"2,2,2,2,2",5,10,,
11,63,4,Have you ever had any allergic reaction or experienced side effects from the selected medications or from any other medications that you have tried before? ,1,Yes|No,"3,1",1,11,1,"i. The Patient Information Leaflet (PIL) that comes with your medicine will have a list of ingredients.
i. A drug allergy is a response of the body's immune system to a medication; this is different to a side effect of a medication. Symptoms of an allergic reaction include itchy red eyes or skin rashes. Anaphylaxis is an extreme form of allergic reaction. It can cause swelling of the lips and tongue, breathing problems, collapse and loss of consciousness. "
12,63,4,"Are you taking any prescription-only medicines, over-the-counter medicines, alternative medicines or recreational drugs? This includes regular and ‘when needed’ medications",1,Yes|No,"3,1",1,12,1,i. Please note these can be supplied under many different brand names and forms. Look for the generic drug name on the package.
13,63,4,Are you taking any of the following medications?,1,"Immunosuppressants e.g. Mycophenolate Mofetil, Ciclosporin, Tacrolimus, Methotrexate|Others including Cimetidine Probenecid, Raloxifen, Zidovudine, Theophylline, Aminophylline","1,1",1,13,,
14,63,4,Do you have any other known allergies? ,1,Yes|No,"3,1",1,14,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
