S.No,Conditions,"Category (Your Symptoms: 2, Your medical history: 3, Medication History: 4",Question,"Answer Type (Single: 1, Multiple: 2, Free Text: 3)",Answer options,"Risk (Low: 1, Medium: 2, High: 3)",Ask Additional (option order comma seperated),Position,Tooltip,Tooltip content
1,45,2,Have you been reviewed and/or investigated by your doctor for Nail Infection before?,1,Yes|No,"2,2",1,1,,
2,45,2,Have your nails been tested to confirm the type of infection you have? ,1,Dermatophyte Candida|Non-Dermatophyte|I don’t know ,"2,2,2",,2,1,"i. Please note, this medicine is only licensed for Dermatophyte nail infections."
3,45,2,Can you confirm that you your Nail Infection is fungal related?,1,Yes|No,"2,2",1,3,1,"i. A fungal nail infection can cause the nail to thicken and discoloured. If you cut your affected nail, it can also crumble. You can also see a clear line between the healthy and infected parts of the nail. If you are not sure if your nail is infected then you should see your GP to confirm."
4,45,2,Are there more than 3 nails that are infected? ,1,Yes|No,"2,1",,4,,
5,45,2,Do you have any of the following symptoms?Please select all that apply. ,2,Loss of the nail|A damaged nail that may lift off from the nail bed|A bad odor (smell) coming from the infected nail,"3,3,3",,5,,
6,45,2,"Do you have any other skin concerns on your affected hand or foot e.g. sections of red, itchy or inflamed skin? ",1,Yes|No,"2,1",1,6,1,i.Some nail problems are secondary to conditions such as psoriasis or severe eczema.
7,45,3,"Have you been investigated and/or diagnosed with any of the following conditions? 
Please select all the conditions that apply. ",2,"Diabetes|Impaired blood circulation|Immunosuppression e.g. HIV|Autoimmune disease|Psoriasis|Heart conditions e.g. stroke, heart attack, heart failure","3,3,3,3,3,3",,7,,
8,45,3,Have you had a liver function blood test in the last 12 months? ,1,Yes|No,"3,1",1,8,1,i.The manufacturer advises caution if you have liver problems e.g. hepatic encephalopathy. We recommend that you have a liver test with your doctor before using this medication.
9,45,3,Have you been diagnosed with a liver and/or kidney condition? ,1,Yes|No,"3,1",1,9,,
10,45,3,"Has your doctor diagnosed you with any other medical conditions or is there anything else we should know about your health? Are you waiting for any investigations, treatments or procedures for any recent conditions? ",1,Yes|No,"3,1",1,10,,
11,45,4,"Have you taken the selected medication before, or are you currently taking any medications for Nail Infection? ",1,Yes|No,"2,1",1,11,,
12,45,4,Have you ever had any allergic reaction or experienced side effects from the selected medications or from any other medications that you have tried before? ,1,Yes|No,"3,1",1,12,1,"i. The Patient Information Leaflet (PIL) that comes with your medicine will have a list of ingredients.
i. A drug allergy is a response of the body's immune system to a medication; this is different to a side effect of a medication. Symptoms of an allergic reaction include itchy red eyes or skin rashes. Anaphylaxis is an extreme form of allergic reaction. It can cause swelling of the lips and tongue, breathing problems, collapse and loss of consciousness. "
13,45,4,"Are you taking any prescription-only medicines, over-the-counter medicines, alternative medicines or recreational drugs? This includes regular and ‘when needed’ medications",1,Yes|No,"3,1",1,13,1,i. Please note these can be supplied under many different brand names and forms. Look for the generic drug name on the package.
14,45,4,Do you have any other known allergies? ,1,Yes|No,"3,1",1,14,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
