S.No,Conditions,"Category (Your Symptoms: 2, Your medical history: 3, Medication History: 4",Question,"Answer Type (Single: 1, Multiple: 2, Free Text: 3)",Answer options,"Risk (Low: 1, Medium: 2, High: 3)",Ask Additional (option order comma seperated),Position,Tooltip,Tooltip content
1,42,2,Have you been reviewed and/or investigated by your doctor for this condition (Nausea/Vomiting) before?  ,1,Yes|No,"2,2",1,1,,
2,42,2,Are you currently suffering from Nausea and/or Vomiting? ,1,Yes|No,"2,1",1,2,,
3,42,2,Has your Nausea or Vomiting been persistent for more than 3 days? ,1,Yes|No,"2,1",1,3,,
4,42,2,Do you know the cause of your Nausea or Vomiting? ,1,Yes|No,"2,1",1,4,,
5,42,2,Can you keep fluids down?,1,Yes|No,"1,3",,5,,
6,42,2,"Do you have stomach cramps, fever, yellow or green bile when you vomit; and/or blood or dark flecks in your vomit or pain in your upper abdomen spreading into your back?",1,Yes|No,"1,1",,6,,
7,42,3,"Have you been investigated and/or diagnosed with any of the following conditions?
Please select all the conditions that apply.",2,"Epilepsy|Stomach bleeding, perforation, or obstruction|Parkinson's disease|Low thyroid levels|Prostate problems|Myasthenia Gravis|Adrenal gland tumour|Glaucoma|A blood disorder|Heart conditions e.g. stroke, heart attack. heart failure|Other","3,3,3,3,3,3,3,3,3,3,3",11,7,,
8,42,3,Have you been diagnosed with a liver and/or kidney condition?,1,Yes|No,"3,1",1,8,,
9,42,3,"Has your doctor diagnosed you with any other medical conditions or is there anything else we should know about your health? Are you waiting for any investigations, treatments or procedures for any recent conditions? ",1,Yes|No,"3,1",1,9,,
10,42,4,"Have you taken the selected medication before, or are you currently taking any medications for this condition (Nausea or Vomiting)? ",1,Yes|No,"2,1",1,10,,
11,42,4,Have you ever had any allergic reaction or experienced side effects from the selected medications or from any other medications that you have tried before? ,1,Yes|No,"3,1",1,11,1,"i. The Patient Information Leaflet (PIL) that comes with your medicine will have a list of ingredients.
i. A drug allergy is a response of the body's immune system to a medication; this is different to a side effect of a medication. Symptoms of an allergic reaction include itchy red eyes or skin rashes. Anaphylaxis is an extreme form of allergic reaction. It can cause swelling of the lips and tongue, breathing problems, collapse and loss of consciousness. "
12,42,4,"Are you taking any prescription-only medicines, over-the-counter medicines, alternative medicines or recreational drugs? This includes regular and ‘when needed’ medications",1,Yes|No,"3,1",1,12,1,i. Please note these can be supplied under many different brand names and forms. Look for the generic drug name on the package.
13,42,4,Do you have any other known allergies? ,1,Yes|No,"3,1",1,13,,
14,,,,,,,,,,
15,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
