S.No,Conditions,"Category (Your Symptoms: 2, Your medical history: 3, Medication History: 4",Question,"Answer Type (Single: 1, Multiple: 2, Free Text: 3)",Answer options,"Risk (Low: 1, Medium: 2, High: 3)",Ask Additional (option order comma seperated),Position,Tooltip,Tooltip content
5,52,2,Have you been reviewed and/or investigated by your doctor/dermatologist for Psoriasis before?  ,1,Yes|No,"2,1",1,1,1,We strongly advise getting a diagnosis before ordering treatment for the condition.
6,52,2,"Why are you seeking treatment for this condition?
Please select all that apply.",2,Treatment for the first time|To manage a flare up|Try a different medication|To manage chronic and persistent symptoms of Psoriasis|Other,"2,2,2,2,2",5,2,,
7,52,2,When were you first diagnosed with Psoriasis?,3,,,,3,,
8,52,2,When was your Psoriasis last reviewed by your doctor/dermatologist?,1,< 12 months ago|1 - 3 years ago|> 3 years ago,"1,2,2",,4,,
9,52,2,"What type of Psoriasis do you have?
Please select all the conditions that apply.",2,"Chronic Plaque (thick scaly patches)|Palmoplantar (affecting your palms and feet)|Pustular (pus filled blisters on your skin)|Guttate (small drop shaped sores on your skin)|Erythrodermic Psoriasis (fine scaling covering the entire body, skin may feel hot, painful or irritated)|I don't know","2,2,2,2,2,2",,5,,
10,52,2,"What parts of your body are affected by Psoriasis?
Please select all that apply.",2,Hands and arms|Feet and legs|Chest and torso|Face and neck|Back|Scalp|Other ,"2,2,2,2,2,2,2",7,6,,
11,52,2,How often do you get a flare up and how do you manage your flare ups?,3,,,,7,,
12,52,2,Other than your skin condition are you experiencing any of the following symptom? ,2,Feeling generally unwell|Widespread Psoriasis|High temperature|Unexpected weight loss|Joint pain or stiffness|More information,"3,3,3,3,3,3",6,8,,
13,52,3,Have you ever been diagnosed with high calcium levels? ,1,Yes|No,"3,1",1,9,,
14,52,3,Have you been diagnosed with a liver and/or kidney condition? ,1,Yes|No,"3,1",1,10,,
15,52,3,"Has your doctor diagnosed you with any other medical conditions or is there anything else we should know about your health? Are you waiting for any investigations, treatments or procedures for any recent conditions? ",1,Yes|No,"3,1",1,11,,
16,52,4,"Have you taken the selected medication before, or are you currently taking any medications for Psoriasis? ",1,Yes|No,"2,1",1,12,,
17,52,4,Have you ever had any allergic reaction or experienced side effects to the selected medications or other medications that you have tried before? ,1,Yes|No,"3,1",1,13,1,"i. The Patient Information Leaflet (PIL) that comes with your medicine will have a list of ingredients.

i. A drug allergy is a response of the body's immune system to a medication; this is different to a side effect of a medication. Symptoms of an allergic reaction include itchy red eyes or skin rashes. Anaphylaxis is an extreme form of allergic reaction. It can cause swelling of the lips and tongue, breathing problems, collapse and loss of consciousness. "
18,52,4,"Which of the following treatment are you currently taking for Psoriasis? 
Please select all that apply.",2,Moisturisers/emollients|Steroid creams|Dovonex|Dovobet|Diprosalic|Tar|Methotrexate|Other,"2,2,2,2,2,2,3,2",8,14,,
19,52,4,"Are you taking any prescription-only medicines, over-the-counter medicines, alternative medicines or recreational drugs? This includes regular and ‘when needed’ medications",1,Yes|No,"3,1",1,15,1,Please note these can be supplied under many different brand names and forms. Look for the generic drug name on the package.
20,52,4,Do you have any other known allergies? ,1,Yes|No,"3,1",1,16,,
